mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda
SLC25A46,hsa-mir-382,0.407263712,0.002473068,0.051648906,-0.888508871,0.000256562,0.034130724,targetprofiler-NO,targetscan-Yes,miRanda-NO
RUNDC2A,hsa-mir-106b,0.407450192,0.002460664,0.051455728,-0.799815769,0.003122479,0.080873222,targetprofiler-NO,targetscan-NO,miRanda-Yes
ZNF333,hsa-mir-1180,0.407491692,0.002457911,0.051413173,-0.801415691,0.003019197,0.080025015,targetprofiler-Yes,targetscan-Yes,miRanda-NO
ZNF382,hsa-mir-340,0.407553303,0.002453829,0.051349315,-0.787907006,0.003975727,0.087636869,targetprofiler-NO,targetscan-Yes,miRanda-NO
TBC1D12,hsa-mir-3653,0.407876283,0.002432528,0.051022961,-0.785464639,0.004170078,0.089053087,targetprofiler-NO,targetscan-Yes,miRanda-NO
CHUK,hsa-mir-136,0.407931117,0.002428929,0.050968004,-0.768234234,0.005747021,0.09918646,targetprofiler-NO,targetscan-NO,miRanda-Yes
SGTB,hsa-mir-136,0.408148253,0.002414719,0.050745751,-0.846379123,0.001018779,0.055744516,targetprofiler-NO,targetscan-Yes,miRanda-NO
DST,hsa-mir-222,0.408220099,0.002410034,0.050672683,-0.789253936,0.003871456,0.086874785,targetprofiler-Yes,targetscan-NO,miRanda-NO
FAM172A,hsa-mir-10b,0.408270299,0.002406765,0.050619974,-0.811106516,0.002446853,0.074677019,targetprofiler-NO,targetscan-Yes,miRanda-NO
MLXIP,hsa-mir-136,0.408349246,0.002401633,0.050538721,-0.833652171,0.001429608,0.062459375,targetprofiler-NO,targetscan-Yes,miRanda-NO
PLEKHA5,hsa-mir-107,0.408483053,0.002392955,0.050403636,-0.812627199,0.002364979,0.073830442,targetprofiler-Yes,targetscan-NO,miRanda-NO
SGTB,hsa-mir-382,0.408700836,0.002378892,0.050181458,-0.875190453,0.000417891,0.040766689,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZDHHC17,hsa-mir-495,0.408899513,0.002366126,0.049979716,-0.797803894,0.003256049,0.08198495,targetprofiler-Yes,targetscan-Yes,miRanda-NO
MTMR12,hsa-mir-340,0.408942988,0.002363341,0.049936856,-0.782500744,0.004415257,0.090802756,targetprofiler-NO,targetscan-Yes,miRanda-NO
ULK2,hsa-mir-299,0.409021586,0.002358313,0.049857031,-0.844234039,0.001080849,0.056835792,targetprofiler-NO,targetscan-Yes,miRanda-NO
MTMR9,hsa-mir-299,0.40962685,0.002319909,0.049242025,-0.833817561,0.001423582,0.062389442,targetprofiler-NO,targetscan-Yes,miRanda-NO
MAP1B,hsa-mir-136,0.409946121,0.002299877,0.048920868,-0.817331555,0.002124587,0.071204132,targetprofiler-NO,targetscan-Yes,miRanda-NO
TMEM56,hsa-mir-136,0.410019714,0.002295281,0.048845971,-0.769343937,0.005634008,0.098506115,targetprofiler-NO,targetscan-Yes,miRanda-NO
PKNOX1,hsa-mir-25,0.410095325,0.002290568,0.048767444,-0.813911973,0.002297414,0.073100439,targetprofiler-Yes,targetscan-Yes,miRanda-NO
PCNX,hsa-mir-136,0.410196559,0.00228427,0.048668278,-0.812764461,0.002357691,0.073757414,targetprofiler-NO,targetscan-Yes,miRanda-NO
LRPPRC,hsa-mir-505,0.410257531,0.002280485,0.048605622,-0.775849805,0.005004014,0.094667457,targetprofiler-NO,targetscan-Yes,miRanda-NO
CHUK,hsa-mir-93,0.410657349,0.002255802,0.048207554,-0.790812526,0.003753342,0.085953003,targetprofiler-Yes,targetscan-NO,miRanda-NO
MPDZ,hsa-mir-130a,0.411211674,0.002221973,0.047672062,-0.77408835,0.005169178,0.095718515,targetprofiler-NO,targetscan-NO,miRanda-Yes
BNC2,hsa-mir-155,0.411276661,0.002218036,0.047610143,-0.787736444,0.003989077,0.087740307,targetprofiler-Yes,targetscan-Yes,miRanda-Yes
SLMO1,hsa-mir-15b,0.412064776,0.002170791,0.046845132,-0.806136846,0.002729191,0.077411185,targetprofiler-Yes,targetscan-NO,miRanda-NO
PITPNM2,hsa-mir-191,0.412150795,0.002165689,0.046763649,-0.788901943,0.003898507,0.087076784,targetprofiler-NO,targetscan-Yes,miRanda-NO
TMEM170B,hsa-mir-495,0.412587611,0.002139944,0.046342405,-0.772732703,0.005299,0.09651039,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF519,hsa-mir-186,0.41262612,0.002137687,0.046305543,-0.786511139,0.004085962,0.088435931,targetprofiler-NO,targetscan-Yes,miRanda-NO
SEC63,hsa-mir-495,0.412674626,0.002134848,0.046259214,-0.841712381,0.001157403,0.058181752,targetprofiler-NO,targetscan-Yes,miRanda-NO
UBQLN1,hsa-mir-92b,0.412709548,0.002132806,0.046225593,-0.820186549,0.001987887,0.069669264,targetprofiler-Yes,targetscan-NO,miRanda-NO
PLEKHA5,hsa-mir-505,0.412762613,0.002129706,0.046174474,-0.892045603,0.000223093,0.03235773,targetprofiler-NO,targetscan-Yes,miRanda-NO
HBS1L,hsa-mir-590,0.412940036,0.002119371,0.046010744,-0.798682068,0.003197235,0.081509994,targetprofiler-NO,targetscan-Yes,miRanda-NO
ACTR1A,hsa-mir-107,0.412979407,0.002117084,0.045976158,-0.785082302,0.004201126,0.089277871,targetprofiler-Yes,targetscan-NO,miRanda-NO
NIPSNAP3B,hsa-mir-18a,0.413012713,0.002115151,0.045946437,-0.778604739,0.004753536,0.09306894,targetprofiler-NO,targetscan-NO,miRanda-Yes
MTMR9,hsa-mir-495,0.413122632,0.002108782,0.045842764,-0.775029635,0.005080426,0.095150825,targetprofiler-NO,targetscan-Yes,miRanda-NO
ULK2,hsa-mir-382,0.413183313,0.002105273,0.045785411,-0.868432063,0.000524458,0.044167709,targetprofiler-NO,targetscan-Yes,miRanda-NO
ARNT2,hsa-mir-1266,0.413327176,0.002096975,0.04565036,-0.867558198,0.000539606,0.044619609,targetprofiler-NO,targetscan-Yes,miRanda-NO
MAP1B,hsa-mir-495,0.413330134,0.002096805,0.045647644,-0.774146234,0.005163688,0.095682247,targetprofiler-NO,targetscan-Yes,miRanda-NO
RERE,hsa-mir-495,0.413852645,0.002066914,0.04515175,-0.782479413,0.004417059,0.090814775,targetprofiler-NO,targetscan-Yes,miRanda-NO
TUBE1,hsa-mir-382,0.41402329,0.002057235,0.044994584,-0.841556154,0.001162276,0.05827124,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZDHHC17,hsa-mir-410,0.414052682,0.002055571,0.044967038,-0.828094099,0.001643466,0.065482218,targetprofiler-NO,targetscan-Yes,miRanda-NO
TAOK1,hsa-mir-629,0.414225531,0.002045815,0.044807833,-0.900122532,0.000159123,0.028416344,targetprofiler-NO,targetscan-Yes,miRanda-NO
SMAD5,hsa-mir-382,0.414523891,0.002029071,0.044531677,-0.801690047,0.003001745,0.079885424,targetprofiler-NO,targetscan-Yes,miRanda-NO
