mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda
NECAB1,hsa-mir-132,0.469054377,0.000395942,0.012592052,-0.788788497,0.003907256,0.0871397,targetprofiler-NO,targetscan-Yes,miRanda-NO
NEGR1,hsa-mir-345,0.469731714,0.000387308,0.012375757,-0.773809059,0.005195731,0.095877782,targetprofiler-NO,targetscan-Yes,miRanda-NO
CCDC149,hsa-mir-382,0.470868962,0.000373194,0.012015033,-0.806074682,0.002732869,0.077443679,targetprofiler-NO,targetscan-Yes,miRanda-NO
MTX3,hsa-mir-299,0.471650118,0.000363771,0.011770984,-0.797504245,0.003276299,0.082154537,targetprofiler-NO,targetscan-Yes,miRanda-NO
DCUN1D2,hsa-mir-136,0.471684565,0.000363361,0.011760039,-0.866716791,0.000554501,0.045042428,targetprofiler-NO,targetscan-Yes,miRanda-NO
MTMR12,hsa-mir-1266,0.471690208,0.000363293,0.011758321,-0.829691244,0.001579716,0.064616053,targetprofiler-NO,targetscan-Yes,miRanda-NO
TEAD1,hsa-mir-495,0.472464566,0.000354177,0.011521428,-0.771486961,0.005420398,0.097227804,targetprofiler-NO,targetscan-Yes,miRanda-NO
REEP1,hsa-mir-25,0.47266979,0.000351796,0.011460367,-0.799269686,0.003158324,0.081189521,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF519,hsa-mir-25,0.472923898,0.000348868,0.011385431,-0.773251558,0.005249032,0.096192456,targetprofiler-NO,targetscan-Yes,miRanda-Yes
PALM,hsa-mir-484,0.473742173,0.000339589,0.011143411,-0.768095345,0.005761282,0.099264421,targetprofiler-Yes,targetscan-NO,miRanda-NO
UBE2V2,hsa-mir-590,0.474300029,0.000333391,0.010983264,-0.76793146,0.005778143,0.099372868,targetprofiler-NO,targetscan-Yes,miRanda-NO
HACE1,hsa-mir-1226,0.474533213,0.000330832,0.010916576,-0.768429475,0.005727018,0.099070427,targetprofiler-NO,targetscan-Yes,miRanda-NO
TAF5L,hsa-mir-136,0.47455284,0.000330617,0.010910963,-0.787287042,0.004024412,0.087998093,targetprofiler-NO,targetscan-Yes,miRanda-NO
SRRM2,hsa-mir-345,0.474812438,0.00032779,0.010838128,-0.846191242,0.001024106,0.055839788,targetprofiler-NO,targetscan-Yes,miRanda-Yes
CAPZB,hsa-mir-185,0.474841186,0.000327478,0.010830289,-0.81504028,0.002239272,0.07246001,targetprofiler-Yes,targetscan-Yes,miRanda-NO
SETD5,hsa-mir-93,0.475271068,0.000322849,0.010708821,-0.799892248,0.003117483,0.080833931,targetprofiler-NO,targetscan-Yes,miRanda-NO
NAA25,hsa-let-7e,0.47534509,0.000322058,0.010687853,-0.850486495,0.000907449,0.05362576,targetprofiler-Yes,targetscan-NO,miRanda-NO
CAMTA1,hsa-mir-299,0.476552983,0.000309394,0.010349551,-0.842632885,0.001129001,0.05766666,targetprofiler-NO,targetscan-Yes,miRanda-NO
CAND2,hsa-mir-495,0.476666633,0.000308226,0.010318748,-0.778610687,0.004753005,0.093062912,targetprofiler-NO,targetscan-Yes,miRanda-NO
USP37,hsa-mir-136,0.476672729,0.000308164,0.010317186,-0.792917765,0.003598063,0.084749592,targetprofiler-NO,targetscan-Yes,miRanda-NO
C11orf58,hsa-mir-381,0.47689391,0.000305903,0.010256404,-0.812141311,0.002390914,0.07409049,targetprofiler-NO,targetscan-NO,miRanda-Yes
TNPO2,hsa-mir-495,0.477093844,0.000303872,0.010202675,-0.800561046,0.003074047,0.080457591,targetprofiler-NO,targetscan-Yes,miRanda-NO
CAMTA1,hsa-mir-106b,0.478633507,0.000288638,0.009792838,-0.817095469,0.002136197,0.071324903,targetprofiler-Yes,targetscan-NO,miRanda-Yes
GLIS3,hsa-mir-653,0.478989806,0.000285213,0.009700276,-0.824771892,0.001782219,0.067213279,targetprofiler-NO,targetscan-Yes,miRanda-NO
MTX3,hsa-mir-382,0.479337862,0.000281903,0.009608891,-0.885370995,0.000289334,0.035642332,targetprofiler-NO,targetscan-Yes,miRanda-NO
MKRN2,hsa-mir-93,0.479466893,0.000280685,0.009575656,-0.828547792,0.001625165,0.065242443,targetprofiler-NO,targetscan-Yes,miRanda-NO
STRN3,hsa-mir-299,0.480325034,0.000272704,0.00935639,-0.826217462,0.00172081,0.06643741,targetprofiler-NO,targetscan-Yes,miRanda-NO
CNNM1,hsa-mir-25,0.481406595,0.00026294,0.009089641,-0.808923455,0.002568055,0.075895095,targetprofiler-Yes,targetscan-Yes,miRanda-Yes
KIF27,hsa-mir-939,0.481499517,0.000262116,0.009066446,-0.834917121,0.001384003,0.06180564,targetprofiler-NO,targetscan-NO,miRanda-Yes
MTX3,hsa-mir-487a,0.481725212,0.000260124,0.009010509,-0.803311828,0.002900104,0.078977814,targetprofiler-Yes,targetscan-Yes,miRanda-NO
FAM124A,hsa-mir-495,0.481773029,0.000259704,0.00899915,-0.781260396,0.004520958,0.091512954,targetprofiler-NO,targetscan-Yes,miRanda-NO
TNPO2,hsa-mir-136,0.482004944,0.000257675,0.008941516,-0.872446044,0.000458966,0.042188093,targetprofiler-NO,targetscan-Yes,miRanda-NO
TXLNA,hsa-mir-495,0.482315064,0.000254985,0.008865922,-0.796014822,0.003378346,0.082983492,targetprofiler-NO,targetscan-Yes,miRanda-NO
ACOT9,hsa-mir-222,0.483247976,0.000247044,0.008642497,-0.831974324,0.001491825,0.063370436,targetprofiler-NO,targetscan-NO,miRanda-Yes
SLC25A36,hsa-mir-141,0.483565889,0.00024439,0.008568456,-0.830940897,0.001531142,0.063940827,targetprofiler-NO,targetscan-Yes,miRanda-NO
RRAGD,hsa-mir-382,0.483742316,0.000242928,0.008527456,-0.835046596,0.001379398,0.061737044,targetprofiler-NO,targetscan-Yes,miRanda-NO
HIF1AN,hsa-mir-299,0.484343277,0.000238009,0.008387423,-0.785113829,0.004198559,0.089259289,targetprofiler-NO,targetscan-Yes,miRanda-NO
RGN,hsa-mir-382,0.484383961,0.000237679,0.008378423,-0.905609342,0.000124409,0.02574234,targetprofiler-NO,targetscan-Yes,miRanda-Yes
KIAA1586,hsa-mir-186,0.484402855,0.000237526,0.008374208,-0.771134152,0.005455148,0.097430328,targetprofiler-NO,targetscan-Yes,miRanda-Yes
WWOX,hsa-mir-495,0.484650199,0.000235531,0.008317954,-0.811486411,0.002426204,0.074460608,targetprofiler-Yes,targetscan-NO,miRanda-NO
FOXP2,hsa-mir-136,0.484728288,0.000234905,0.008300268,-0.825553184,0.001748829,0.066807413,targetprofiler-NO,targetscan-Yes,miRanda-NO
CAPN7,hsa-mir-382,0.485086535,0.00023205,0.008218926,-0.874766728,0.000424044,0.040980635,targetprofiler-Yes,targetscan-Yes,miRanda-NO
WWOX,hsa-mir-376b,0.485193324,0.000231205,0.008195002,-0.76902751,0.005666065,0.098704085,targetprofiler-NO,targetscan-NO,miRanda-Yes
TRIM44,hsa-mir-130a,0.485734225,0.000226968,0.008075564,-0.769996594,0.005568309,0.098110243,targetprofiler-NO,targetscan-Yes,miRanda-NO
C9orf25,hsa-mir-130a,0.486430447,0.000221619,0.007921946,-0.780098436,0.004621662,0.092208939,targetprofiler-Yes,targetscan-NO,miRanda-NO
MTX3,hsa-mir-495,0.486450613,0.000221465,0.007917875,-0.813925506,0.00229671,0.073094229,targetprofiler-Yes,targetscan-Yes,miRanda-NO
CPEB1,hsa-mir-25,0.487178904,0.000215996,0.007760711,-0.770610887,0.005506989,0.097725161,targetprofiler-NO,targetscan-Yes,miRanda-NO
RRAGD,hsa-mir-410,0.487316204,0.000214979,0.007731444,-0.774489934,0.005131175,0.095462573,targetprofiler-NO,targetscan-Yes,miRanda-NO
CSF1,hsa-mir-222,0.488022516,0.000209815,0.007582695,-0.784722799,0.004230475,0.089502111,targetprofiler-NO,targetscan-NO,miRanda-Yes
MCPH1,hsa-mir-1254,0.488039685,0.000209691,0.007579052,-0.771607281,0.005408584,0.097161775,targetprofiler-NO,targetscan-Yes,miRanda-NO
SCML1,hsa-mir-505,0.488411413,0.00020702,0.007501307,-0.772591548,0.005312654,0.096585288,targetprofiler-NO,targetscan-Yes,miRanda-NO
STRN3,hsa-mir-410,0.48965184,0.000198331,0.00724477,-0.771912101,0.00537874,0.096989599,targetprofiler-NO,targetscan-Yes,miRanda-NO
SCN7A,hsa-mir-505,0.490888346,0.000190001,0.006998793,-0.777507768,0.004852137,0.093702663,targetprofiler-NO,targetscan-Yes,miRanda-NO
STRN3,hsa-mir-136,0.490902202,0.000189909,0.00699617,-0.861923318,0.00064538,0.047576251,targetprofiler-Yes,targetscan-Yes,miRanda-NO
NAP1L1,hsa-mir-186,0.49120705,0.000187906,0.006936454,-0.858825793,0.000709809,0.04918774,targetprofiler-NO,targetscan-Yes,miRanda-NO
ROCK1,hsa-mir-136,0.491277907,0.000187443,0.00692239,-0.826451034,0.001711038,0.066310296,targetprofiler-NO,targetscan-Yes,miRanda-NO
TACC1,hsa-mir-29c,0.491654285,0.000185002,0.006849188,-0.834689849,0.001392116,0.061931914,targetprofiler-Yes,targetscan-NO,miRanda-NO
LOC100128239,hsa-mir-484,0.492112583,0.000182069,0.006761088,-0.849756198,0.00092654,0.054008564,targetprofiler-Yes,targetscan-NO,miRanda-NO
RPRD1A,hsa-mir-381,0.492938116,0.000176892,0.00660494,-0.814161189,0.002284476,0.072959471,targetprofiler-Yes,targetscan-NO,miRanda-NO
TAOK1,hsa-mir-505,0.493320218,0.000174541,0.006534546,-0.803304796,0.00290054,0.0789789,targetprofiler-NO,targetscan-Yes,miRanda-NO
NFIB,hsa-mir-155,0.494343443,0.000168386,0.006347524,-0.808742234,0.002578313,0.075996213,targetprofiler-NO,targetscan-Yes,miRanda-NO
PACRGL,hsa-mir-505,0.494442553,0.000167801,0.006329872,-0.810275863,0.002492456,0.075147167,targetprofiler-NO,targetscan-Yes,miRanda-NO
CSF1,hsa-mir-221,0.494696742,0.000166308,0.006283821,-0.796922187,0.003315903,0.082482445,targetprofiler-NO,targetscan-Yes,miRanda-Yes
CAPRIN2,hsa-mir-221,0.49552288,0.000161538,0.006136999,-0.814229162,0.002280957,0.07291894,targetprofiler-NO,targetscan-Yes,miRanda-Yes
NAV1,hsa-mir-627,0.495672067,0.00016069,0.006110703,-0.773006107,0.005272627,0.096342421,targetprofiler-Yes,targetscan-Yes,miRanda-NO
HIF1AN,hsa-mir-382,0.495770901,0.000160131,0.006093925,-0.800559196,0.003074167,0.08045795,targetprofiler-NO,targetscan-Yes,miRanda-NO
PHF21A,hsa-mir-136,0.495832632,0.000159782,0.006083453,-0.812213369,0.002387055,0.07405153,targetprofiler-NO,targetscan-Yes,miRanda-NO
C11orf58,hsa-mir-382,0.497739059,0.000149353,0.005761887,-0.9146336,8.02E-05,0.021387692,targetprofiler-Yes,targetscan-Yes,miRanda-NO
SLC25A4,hsa-mir-487a,0.49780471,0.000149006,0.005751347,-0.799920836,0.003115617,0.080820101,targetprofiler-NO,targetscan-NO,miRanda-Yes
FBXW11,hsa-mir-199b,0.497942538,0.000148278,0.00572857,-0.800794572,0.003058987,0.080345382,targetprofiler-NO,targetscan-Yes,miRanda-NO
C5orf42,hsa-mir-345,0.498334252,0.000146227,0.005664511,-0.826549672,0.001706924,0.066254269,targetprofiler-Yes,targetscan-NO,miRanda-NO
PCGF6,hsa-mir-382,0.498813034,0.000143756,0.005587005,-0.803417757,0.002893556,0.078921827,targetprofiler-Yes,targetscan-Yes,miRanda-NO
WDR35,hsa-mir-221,0.498938552,0.000143114,0.005566944,-0.839929627,0.001213932,0.059144569,targetprofiler-NO,targetscan-Yes,miRanda-NO
SOBP,hsa-mir-199b,0.499867451,0.000138447,0.005419036,-0.800651742,0.003068192,0.080415034,targetprofiler-NO,targetscan-Yes,miRanda-NO
TNPO2,hsa-mir-1180,0.500257685,0.000136528,0.005358234,-0.831851672,0.001496452,0.063445187,targetprofiler-NO,targetscan-Yes,miRanda-NO
MPDZ,hsa-mir-382,0.502024876,0.000128139,0.005089254,-0.966704546,1.25E-06,0.00267796,targetprofiler-NO,targetscan-NO,miRanda-Yes
LRPPRC,hsa-mir-331,0.502187294,0.000127392,0.005065347,-0.819311587,0.002029061,0.070124141,targetprofiler-NO,targetscan-Yes,miRanda-NO
FAM124A,hsa-mir-381,0.502911595,0.00012411,0.004959766,-0.872922761,0.000451621,0.041930976,targetprofiler-Yes,targetscan-NO,miRanda-NO
GRB10,hsa-mir-345,0.503054136,0.000123473,0.004939366,-0.783233351,0.00435369,0.090387936,targetprofiler-Yes,targetscan-Yes,miRanda-NO
CPSF7,hsa-mir-15b,0.504713831,0.000116275,0.004704631,-0.791962094,0.003667949,0.085307241,targetprofiler-Yes,targetscan-NO,miRanda-NO
NECAB1,hsa-mir-199b,0.505232126,0.000114107,0.004633627,-0.804866772,0.002805076,0.078096053,targetprofiler-NO,targetscan-Yes,miRanda-NO
PIK3C2A,hsa-mir-410,0.505324841,0.000113723,0.004620815,-0.787821834,0.003982389,0.087686514,targetprofiler-NO,targetscan-Yes,miRanda-NO
MKX,hsa-mir-487a,0.505367071,0.000113549,0.004614879,-0.784846439,0.004220365,0.089430303,targetprofiler-Yes,targetscan-Yes,miRanda-NO
GOLGA7,hsa-mir-766,0.505721237,0.000112095,0.004567032,-0.775615032,0.0050258,0.094797471,targetprofiler-Yes,targetscan-NO,miRanda-NO
AKT3,hsa-mir-136,0.505941817,0.000111199,0.004536819,-0.808903688,0.002569172,0.075903439,targetprofiler-NO,targetscan-Yes,miRanda-NO
AKT3,hsa-mir-382,0.506427157,0.000109249,0.004471677,-0.858571264,0.000715311,0.049330598,targetprofiler-NO,targetscan-Yes,miRanda-NO
POTEF,hsa-mir-1266,0.50657282,0.00010867,0.00445214,-0.795173746,0.003437003,0.083460824,targetprofiler-NO,targetscan-Yes,miRanda-NO
GPAM,hsa-mir-629,0.506920546,0.000107299,0.004406809,-0.90608412,0.000121703,0.025512114,targetprofiler-NO,targetscan-Yes,miRanda-NO
GEMIN5,hsa-mir-136,0.508305056,0.000101995,0.004228286,-0.791837321,0.003677148,0.085366084,targetprofiler-NO,targetscan-NO,miRanda-Yes
DDHD2,hsa-mir-495,0.508388036,0.000101685,0.004217915,-0.76731701,0.005841683,0.099745445,targetprofiler-Yes,targetscan-Yes,miRanda-Yes
ANKRD52,hsa-mir-3653,0.50864647,0.000100725,0.004185446,-0.774215435,0.00515713,0.095639441,targetprofiler-NO,targetscan-Yes,miRanda-NO
RPRD1A,hsa-mir-382,0.509212792,9.86E-05,0.004115618,-0.898898476,0.000167783,0.029018829,targetprofiler-NO,targetscan-Yes,miRanda-NO
CRTC1,hsa-mir-136,0.509415234,9.79E-05,0.004090886,-0.767292582,0.005844219,0.0997603,targetprofiler-NO,targetscan-Yes,miRanda-NO
MSN,hsa-mir-222,0.510327365,9.47E-05,0.003980437,-0.842656305,0.001128285,0.057653795,targetprofiler-Yes,targetscan-NO,miRanda-NO
RPRD1A,hsa-mir-136,0.510998066,9.24E-05,0.003901706,-0.868076764,0.000530577,0.044353402,targetprofiler-NO,targetscan-Yes,miRanda-NO
AHI1,hsa-mir-345,0.511148129,9.18E-05,0.003883716,-0.85298357,0.000844404,0.052269774,targetprofiler-NO,targetscan-NO,miRanda-Yes
C11orf58,hsa-mir-136,0.51161962,9.03E-05,0.003828598,-0.861422212,0.000655491,0.047849437,targetprofiler-NO,targetscan-Yes,miRanda-NO
GARNL3,hsa-mir-185,0.51170378,9.00E-05,0.003818536,-0.793803175,0.003534199,0.084244505,targetprofiler-Yes,targetscan-Yes,miRanda-Yes
TUB,hsa-mir-484,0.511754887,8.98E-05,0.00381248,-0.78656062,0.004082016,0.088411714,targetprofiler-Yes,targetscan-NO,miRanda-NO
MDM1,hsa-mir-136,0.512524204,8.73E-05,0.003724822,-0.835113769,0.001377013,0.061710183,targetprofiler-Yes,targetscan-Yes,miRanda-NO
DCAF10,hsa-mir-627,0.513085875,8.55E-05,0.003660862,-0.805978418,0.002738573,0.07749216,targetprofiler-NO,targetscan-Yes,miRanda-NO
PDPR,hsa-mir-130a,0.513170983,8.52E-05,0.00365147,-0.767817853,0.005789853,0.099439916,targetprofiler-NO,targetscan-Yes,miRanda-NO
MDM1,hsa-mir-487a,0.513721246,8.35E-05,0.003590573,-0.774219817,0.005156714,0.095637538,targetprofiler-NO,targetscan-Yes,miRanda-NO
STXBP6,hsa-mir-495,0.515524421,7.80E-05,0.003395932,-0.783388957,0.004340695,0.090291536,targetprofiler-NO,targetscan-Yes,miRanda-NO
C10orf84,hsa-mir-382,0.515600925,7.78E-05,0.003387841,-0.967975203,1.05E-06,0.002435705,targetprofiler-NO,targetscan-NO,miRanda-Yes
RASA3,hsa-mir-100,0.516563603,7.50E-05,0.003288477,-0.79793949,0.003246916,0.08190727,targetprofiler-NO,targetscan-NO,miRanda-Yes
FAM53C,hsa-mir-345,0.517355383,7.28E-05,0.003208093,-0.768160803,0.005754558,0.099228369,targetprofiler-Yes,targetscan-Yes,miRanda-NO
MLH3,hsa-mir-345,0.517365565,7.28E-05,0.003207146,-0.769751847,0.00559288,0.098255105,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF84,hsa-mir-382,0.517802562,7.16E-05,0.003163616,-0.824504739,0.001793745,0.067340949,targetprofiler-NO,targetscan-Yes,miRanda-NO
SGCB,hsa-mir-136,0.518046897,7.10E-05,0.003139555,-0.832103552,0.001486962,0.063307369,targetprofiler-NO,targetscan-Yes,miRanda-NO
TDRD3,hsa-mir-136,0.518495475,6.98E-05,0.003095263,-0.85461233,0.000805098,0.051422457,targetprofiler-NO,targetscan-NO,miRanda-Yes
DDHD2,hsa-mir-136,0.518624348,6.94E-05,0.003083216,-0.852136637,0.000865404,0.052709314,targetprofiler-NO,targetscan-Yes,miRanda-NO
DDHD2,hsa-mir-487a,0.519178473,6.80E-05,0.003030479,-0.776867495,0.00491038,0.094070939,targetprofiler-NO,targetscan-Yes,miRanda-NO
ATN1,hsa-mir-25,0.519620786,6.68E-05,0.002988814,-0.836675528,0.001322431,0.060901146,targetprofiler-Yes,targetscan-NO,miRanda-NO
SRRM2,hsa-mir-382,0.520100907,6.56E-05,0.00294404,-0.936953123,2.12E-05,0.011882087,targetprofiler-NO,targetscan-NO,miRanda-Yes
SRRM2,hsa-mir-381,0.521069199,6.33E-05,0.002854928,-0.862145247,0.00064094,0.047461525,targetprofiler-NO,targetscan-NO,miRanda-Yes
PLEKHA5,hsa-mir-151,0.521200494,6.29E-05,0.002843455,-0.791773705,0.003681844,0.085406567,targetprofiler-NO,targetscan-Yes,miRanda-NO
PIK3C2A,hsa-mir-495,0.521219038,6.29E-05,0.002841816,-0.767358862,0.005837339,0.099718162,targetprofiler-NO,targetscan-Yes,miRanda-NO
ARHGAP5,hsa-mir-495,0.52233807,6.03E-05,0.002743709,-0.834737957,0.001390396,0.061907341,targetprofiler-NO,targetscan-Yes,miRanda-NO
EPM2A,hsa-mir-382,0.522674016,5.95E-05,0.002714918,-0.904150128,0.000133012,0.026443441,targetprofiler-NO,targetscan-Yes,miRanda-NO
NDUFA4,hsa-mir-590,0.523339965,5.80E-05,0.00265819,-0.872166504,0.000463315,0.042330144,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZFPM2,hsa-mir-25,0.523538267,5.75E-05,0.002641645,-0.853513772,0.000831454,0.051992778,targetprofiler-NO,targetscan-Yes,miRanda-NO
ARHGAP5,hsa-mir-410,0.523635766,5.73E-05,0.002633615,-0.798569451,0.003204733,0.081568261,targetprofiler-NO,targetscan-Yes,miRanda-NO
EPM2A,hsa-mir-136,0.524520854,5.54E-05,0.002560866,-0.824134257,0.001809821,0.067558935,targetprofiler-Yes,targetscan-NO,miRanda-NO
C10orf84,hsa-mir-495,0.524689655,5.50E-05,0.002547093,-0.827109994,0.001683693,0.065971732,targetprofiler-NO,targetscan-NO,miRanda-Yes
QKI,hsa-mir-186,0.524886107,5.46E-05,0.00253102,-0.798731136,0.003193973,0.081484483,targetprofiler-NO,targetscan-Yes,miRanda-NO
ARHGAP5,hsa-mir-382,0.525981609,5.24E-05,0.002443624,-0.858465884,0.000717598,0.049387617,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF84,hsa-mir-136,0.527274818,4.98E-05,0.002343908,-0.776142771,0.004976925,0.094506368,targetprofiler-NO,targetscan-Yes,miRanda-NO
RAB11FIP2,hsa-mir-505,0.52781726,4.88E-05,0.002303343,-0.816383382,0.002171501,0.071699302,targetprofiler-NO,targetscan-Yes,miRanda-NO
UHRF2,hsa-mir-221,0.528227338,4.80E-05,0.002272702,-0.794383998,0.003492764,0.083904958,targetprofiler-NO,targetscan-NO,miRanda-Yes
EPM2A,hsa-mir-495,0.528721144,4.71E-05,0.002236852,-0.770124664,0.005555484,0.098030029,targetprofiler-Yes,targetscan-NO,miRanda-NO
COQ7,hsa-mir-504,0.528792013,4.69E-05,0.002231757,-0.853907353,0.000821938,0.051795342,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZSCAN23,hsa-mir-410,0.528986234,4.66E-05,0.002217816,-0.816506538,0.002165364,0.071628623,targetprofiler-NO,targetscan-Yes,miRanda-NO
FAM110B,hsa-mir-484,0.529107665,4.64E-05,0.002208967,-0.841786487,0.001155097,0.058130505,targetprofiler-Yes,targetscan-NO,miRanda-Yes
RUNX1T1,hsa-mir-25,0.529579693,4.55E-05,0.002175544,-0.81048185,0.002481089,0.075039612,targetprofiler-NO,targetscan-Yes,miRanda-NO
MAGI2,hsa-mir-25,0.529725362,4.52E-05,0.002165167,-0.828689748,0.00161947,0.065169444,targetprofiler-NO,targetscan-NO,miRanda-Yes
PSMC6,hsa-mir-323,0.529881614,4.50E-05,0.002154203,-0.778583627,0.00475542,0.093079151,targetprofiler-NO,targetscan-Yes,miRanda-NO
GOLGA7,hsa-mir-590,0.530007282,4.47E-05,0.002145185,-0.857845043,0.000731185,0.04971902,targetprofiler-NO,targetscan-Yes,miRanda-NO
STXBP1,hsa-mir-345,0.530204873,4.44E-05,0.002131157,-0.782108856,0.004448454,0.091022221,targetprofiler-NO,targetscan-Yes,miRanda-NO
GPAM,hsa-mir-1266,0.530336144,4.42E-05,0.002121964,-0.82867347,0.001620122,0.065176229,targetprofiler-NO,targetscan-Yes,miRanda-NO
ADAM11,hsa-mir-140,0.530522538,4.39E-05,0.002108876,-0.774783131,0.005103559,0.095301656,targetprofiler-NO,targetscan-Yes,miRanda-NO
TDRD3,hsa-mir-382,0.530706337,4.35E-05,0.002096122,-0.823160534,0.001852587,0.068072078,targetprofiler-Yes,targetscan-NO,miRanda-NO
PELI3,hsa-mir-484,0.532076479,4.12E-05,0.002003662,-0.797814807,0.003255313,0.081979365,targetprofiler-Yes,targetscan-NO,miRanda-NO
GPR135,hsa-mir-136,0.532094174,4.12E-05,0.002002446,-0.775051913,0.005078339,0.095139751,targetprofiler-NO,targetscan-NO,miRanda-Yes
SRRM2,hsa-mir-495,0.533411026,3.91E-05,0.001917599,-0.792714617,0.003612835,0.084872649,targetprofiler-Yes,targetscan-NO,miRanda-NO
NAP1L1,hsa-mir-454,0.533629021,3.88E-05,0.001903679,-0.767679567,0.00580413,0.099518545,targetprofiler-Yes,targetscan-NO,miRanda-NO
STXBP1,hsa-mir-382,0.534001773,3.82E-05,0.001880716,-0.922486155,5.26E-05,0.017818876,targetprofiler-NO,targetscan-Yes,miRanda-NO
NEGR1,hsa-mir-487a,0.534150375,3.80E-05,0.001871404,-0.775509806,0.005035587,0.094865825,targetprofiler-NO,targetscan-Yes,miRanda-NO
STXBP1,hsa-mir-410,0.534218965,3.79E-05,0.001867237,-0.85349927,0.000831806,0.05200212,targetprofiler-NO,targetscan-Yes,miRanda-NO
PRKAA2,hsa-mir-25,0.534326429,3.77E-05,0.001860582,-0.791705488,0.003686885,0.085448898,targetprofiler-NO,targetscan-Yes,miRanda-NO
NAP1L1,hsa-mir-130a,0.534551958,3.74E-05,0.001846673,-0.782818322,0.00438849,0.090622452,targetprofiler-NO,targetscan-Yes,miRanda-NO
EGLN1,hsa-mir-410,0.534879449,3.69E-05,0.001826711,-0.805333034,0.002777038,0.077839443,targetprofiler-NO,targetscan-Yes,miRanda-NO
NEGR1,hsa-mir-136,0.535237751,3.64E-05,0.001805491,-0.877099518,0.000391006,0.039819116,targetprofiler-NO,targetscan-Yes,miRanda-NO
TIPRL,hsa-mir-3653,0.535840354,3.55E-05,0.001769575,-0.814467735,0.002268636,0.072785241,targetprofiler-NO,targetscan-Yes,miRanda-NO
HBS1L,hsa-mir-382,0.536405663,3.47E-05,0.001736174,-0.804239213,0.002843146,0.078466134,targetprofiler-NO,targetscan-Yes,miRanda-NO
NEGR1,hsa-mir-382,0.536410023,3.47E-05,0.001735942,-0.940112634,1.69E-05,0.010674285,targetprofiler-NO,targetscan-Yes,miRanda-NO
NEGR1,hsa-mir-410,0.538310106,3.22E-05,0.001628389,-0.814903778,0.002246247,0.072538278,targetprofiler-NO,targetscan-Yes,miRanda-NO
ME2,hsa-mir-495,0.539188037,3.10E-05,0.001580572,-0.789502921,0.003852405,0.086722876,targetprofiler-NO,targetscan-Yes,miRanda-NO
NEGR1,hsa-mir-495,0.54006119,3.00E-05,0.001534453,-0.806390066,0.002714246,0.077277198,targetprofiler-Yes,targetscan-Yes,miRanda-NO
EGLN1,hsa-mir-495,0.540242558,2.97E-05,0.001525127,-0.826965766,0.00168965,0.06603557,targetprofiler-NO,targetscan-Yes,miRanda-NO
TNIK,hsa-mir-186,0.540879752,2.90E-05,0.001492364,-0.828412237,0.001630617,0.0653087,targetprofiler-NO,targetscan-Yes,miRanda-NO
PPP2R5E,hsa-mir-495,0.541571204,2.82E-05,0.001457591,-0.774006891,0.005176912,0.095756305,targetprofiler-Yes,targetscan-Yes,miRanda-NO
CUL5,hsa-mir-382,0.541905335,2.78E-05,0.001441149,-0.866690303,0.000554975,0.045062124,targetprofiler-NO,targetscan-Yes,miRanda-NO
ADAL,hsa-mir-504,0.542552417,2.71E-05,0.001409574,-0.814473233,0.002268353,0.072785241,targetprofiler-NO,targetscan-Yes,miRanda-NO
KIF1B,hsa-mir-106b,0.54415604,2.54E-05,0.001333694,-0.778731414,0.004742246,0.092992527,targetprofiler-Yes,targetscan-NO,miRanda-NO
CUL5,hsa-mir-136,0.544953567,2.45E-05,0.001297581,-0.875408533,0.000414751,0.040669152,targetprofiler-NO,targetscan-Yes,miRanda-NO
EGLN1,hsa-mir-382,0.545308574,2.42E-05,0.001281684,-0.914180487,8.21E-05,0.021574796,targetprofiler-NO,targetscan-Yes,miRanda-Yes
ME2,hsa-mir-487a,0.545783098,2.37E-05,0.001260585,-0.781885904,0.004467422,0.091152036,targetprofiler-NO,targetscan-Yes,miRanda-NO
PCDH9,hsa-mir-382,0.547618197,2.20E-05,0.001182349,-0.877806863,0.000381386,0.039430854,targetprofiler-Yes,targetscan-Yes,miRanda-Yes
PRPF39,hsa-mir-141,0.549255174,2.05E-05,0.001116292,-0.813327068,0.002327993,0.073433914,targetprofiler-NO,targetscan-Yes,miRanda-NO
NOVA1,hsa-mir-382,0.549625851,2.02E-05,0.001101603,-0.796588336,0.003338777,0.082672771,targetprofiler-Yes,targetscan-NO,miRanda-NO
ARL10,hsa-mir-377,0.550866994,1.92E-05,0.001054089,-0.767211287,0.005852667,0.099803592,targetprofiler-NO,targetscan-Yes,miRanda-NO
GJC1,hsa-mir-299,0.552094571,1.82E-05,0.001009045,-0.784963856,0.004210779,0.089348299,targetprofiler-NO,targetscan-Yes,miRanda-NO
RNASEH1,hsa-mir-505,0.552502103,1.79E-05,0.00099432,-0.816322635,0.002174533,0.071731808,targetprofiler-NO,targetscan-Yes,miRanda-NO
